price_id,supplier_id,product_id,price,note
1,1,3872,$50.38,
2,1,3872,$57.00,
3,1,3872,$56.65,
4,1,4062,$164.65,оновлення
5,1,4062,$163.02,оновлення
6,1,4062,$167.60,прайс
7,1,4606,$21.65,оновлення
8,1,4606,$26.04,акція
9,1,4606,$28.07,оновлення
10,1,100,$24.55,прайс
11,1,100,$23.64,акція
12,1,2347,$100.57,
13,1,2347,$94.87,прайс
14,1,2347,$102.51,прайс
15,1,2001,$142.25,оновлення
16,1,4549,$91.42,прайс
17,1,4549,$91.32,прайс
18,1,2512,$157.47,оновлення
19,1,2512,$159.62,оновлення
20,1,18,$150.40,
21,1,18,$142.90,
22,1,18,$148.80,оновлення
23,1,536,$56.23,акція
24,1,536,$54.92,оновлення
25,1,3657,$145.95,
26,1,4374,$74.11,прайс
27,1,4374,$72.45,оновлення
28,1,4374,$74.43,
29,1,871,$67.00,оновлення
30,1,871,$65.90,прайс
31,1,871,$69.50,прайс
32,1,1322,$136.20,акція
33,1,4175,$132.37,прайс
34,1,4175,$133.31,оновлення
35,1,4175,$133.39,акція
36,1,200,$23.85,акція
37,1,200,$18.92,оновлення
38,1,200,$20.83,прайс
39,1,1667,$56.38,прайс
40,1,1667,$56.85,оновлення
41,1,1667,$57.30,оновлення
42,1,4200,$131.87,прайс
43,1,4200,$132.50,
44,1,4964,$156.94,оновлення
45,1,4964,$149.18,прайс
46,1,4964,$156.54,
47,1,1373,$212.92,
48,1,1373,$209.61,прайс
49,1,3318,$49.69,акція
50,1,1831,$145.27,прайс
51,1,1831,$149.79,прайс
52,1,1831,$147.97,акція
53,1,4310,$126.82,оновлення
54,1,3996,$112.00,акція
55,1,3996,$109.32,акція
56,1,3996,$112.03,
57,1,2561,$20.31,
58,1,2561,$17.79,оновлення
59,1,3202,$16.56,прайс
60,1,212,$90.08,акція
61,1,212,$91.93,оновлення
62,1,212,$84.91,оновлення
63,1,505,$65.76,оновлення
64,1,505,$72.23,оновлення
65,1,505,$66.53,прайс
66,1,1101,$100.34,оновлення
67,1,1101,$101.55,прайс
68,1,1101,$97.90,оновлення
69,1,1012,$111.97,прайс
70,1,3753,$93.70,прайс
71,1,3753,$92.06,оновлення
72,1,1221,$30.35,оновлення
73,1,2725,$113.15,
74,1,2725,$110.45,акція
75,1,2725,$116.63,прайс
76,1,1400,$132.46,прайс
77,1,1400,$133.72,акція
78,1,1776,$53.82,прайс
79,1,1776,$52.57,
80,1,1776,$53.09,акція
81,1,4313,$25.03,акція
82,1,4313,$17.83,акція
83,1,4313,$17.01,оновлення
84,1,4863,$117.65,прайс
85,1,4863,$117.23,
86,1,4863,$111.35,оновлення
87,1,4640,$73.55,оновлення
88,1,4640,$70.70,прайс
89,1,2265,$17.47,
90,1,2265,$18.63,
91,1,2265,$15.34,акція
92,1,497,$76.19,акція
93,1,497,$72.19,прайс
94,1,393,$139.67,
95,1,393,$142.89,прайс
96,1,4307,$84.05,оновлення
97,1,4307,$86.19,акція
98,1,4280,$16.22,оновлення
99,1,3003,$175.11,
100,1,3003,$182.17,оновлення
101,1,3003,$181.38,акція
102,1,2826,$36.05,акція
103,1,2270,$83.26,акція
104,1,2270,$79.90,акція
105,1,3014,$58.04,акція
106,1,283,$55.79,акція
107,1,283,$55.46,прайс
108,1,283,$57.83,оновлення
109,1,3914,$21.07,акція
110,1,3914,$18.20,прайс
111,1,3914,$15.42,
112,1,289,$8.30,акція
113,1,3847,$118.99,
114,1,3847,$124.74,прайс
115,1,3847,$118.41,акція
116,1,2158,$173.62,оновлення
117,1,2951,$159.05,
118,1,2951,$165.73,оновлення
119,1,2951,$163.02,
120,1,1554,$95.88,оновлення
