supplier_id,name,phone_main,representative_name,address,city,region,postal_code,latitude,longitude,added_at,updated_at
1,Гавриленко Ltd LLC,+380 (59) 643-20-83,Омелян Власенко,"провулок Віри Інбер, буд. 05",Вінниця,Вінницька,04993,49.283117205240465,28.4706382876495,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
2,Їжак-Єрьоменко LLC,017 939-54-60,Пріска Власенко,"вулиця Луцька, буд. 1 кв. 6",Київ,м. Київ,91087,50.534249456142675,30.409609868886093,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
3,Зарудний-Абраменко LLC,+380 63 636 60 34,Надія Дрозденко,"площа Гвардійська, буд. 807",Ужгород,Закарпатська,85008,48.89056945186547,22.30523543572565,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
4,"Оробець, Забарний and Тимчук LLC",+380 69 029-94-37,Стефан Дерегус,"набережна Глазунова, буд. 58 кв. 75",Київ,м. Київ,39131,50.26947974385676,30.478092941328043,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
5,Микитюк-Міщенко LLC,195 50 74,Марко Яременко,"узвіз Деревообробний 1-й, буд. 7",Херсон,Херсонська,77685,46.70599784078802,33.185727776780084,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
6,Дашенко-Баранник LLC,+380 (71) 450-55-64,Ярина Василашко,"площа Новоселів, буд. 61 кв. 4",Київ,м. Київ,60085,50.068794287741426,30.479063920114744,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
7,"Гайда, Байда and Швачка LLC",723 20 99,Святослава Носенко,"набережна Озерна, буд. 876",Дніпро,Дніпропетровська,28882,48.32349732645666,34.88508151817339,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
8,"Симоненко, Луценко and Цибуленко LLC",+380 56 929-58-13,Богданна Яценюк,"узвіз Задніпровського, буд. 6",Харків,Харківська,56637,49.871933511234396,35.95191142359378,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
9,Андрійович Ltd LLC,521 08 27,Артимович Світлана Пантелеймонівна,"вулиця Десантний, буд. 0 кв. 071",Київ,м. Київ,66609,50.476362989114484,30.91060511333666,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
10,Лавренко Inc LLC,092 898 30 73,Валентин Андрійович,"узвіз Алмазна, буд. 9",Дніпро,Дніпропетровська,89118,48.54098501351801,35.049459966648605,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
11,Редько Group LLC,+380 18 722-02-99,Данило Симоненко,"площа Рощева, буд. 462 кв. 793",Запоріжжя,Запорізька,75802,47.99419757570161,35.54998330107319,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
12,"Воблий, Жадан and Шутько LLC",+380 71 974 11 62,Мирослав Жарко,"шосе Олексіївська, буд. 91",Запоріжжя,Запорізька,49128,48.11823256901152,35.33257305334604,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
13,Аврамчук-Нестайко LLC,262 25 76,Оксана Адамчук,"провулок Лінія 37-ма, буд. 2 кв. 710",Суми,Сумська,76776,50.859690251491585,34.689472756026106,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
14,Дубенко PLC LLC,+380 29 529-86-52,Богуслава Демʼяненко,"набережна Армійська, буд. 4 кв. 5",Дніпро,Дніпропетровська,43436,48.4313981449777,34.85090050100383,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
15,Гречаник PLC LLC,+380 63 285-20-93,Ірина Ісаєвич,"вулиця Бучми, буд. 919 кв. 3",Ужгород,Закарпатська,11841,48.784946419386216,22.1,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
16,"Дацюк, Бандера and Уманець LLC",019 030-55-80,Семен Давимука,"набережна Ламаний, буд. 9",Одеса,Одеська,64868,46.70663915940203,30.602655046032055,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
17,Ґоляш-Шеремет LLC,089 247-75-25,Ніколюк Пантелеймон Макарович,"узвіз Західний 4-й, буд. 44",Запоріжжя,Запорізька,57368,48.081745352829614,35.39976375391273,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
18,"Шморгун, Москаль and Носаченко LLC",123 96 17,Приймак Прохір Григорійович,"узвіз Цегельнозаводська, буд. 097 кв. 036",Полтава,Полтавська,83424,49.54745936266439,34.28745228838083,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
19,Талан PLC LLC,+380 03 842-95-54,Ірина Коваленко,"провулок Канатна, буд. 278",Одеса,Одеська,45577,46.47311197372272,30.886213927331642,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
20,Калениченко Group LLC,017-40-44,Одарка Конопля,"проспект Махачкалинська, буд. 9 кв. 38",Черкаси,Черкаська,77585,49.49317531048866,32.35638044658786,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
21,"Жук, Петренко and Тимчук LLC",+380 89 117 93 21,Орися Дацюк,"сквер Рибальський, буд. 0 кв. 972",Одеса,Одеська,33166,46.10117392471886,30.27541500521086,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
22,Корпанюк-Товстоліс LLC,059-02-14,Альбіна Ейбоженко,"проспект Петра Лещенка, буд. 9 кв. 610",Житомир,Житомирська,19482,49.95572064798539,28.67942759401487,2025-12-13 19:36:08.189801 +00:00,2025-12-13 19:36:08.189801 +00:00
